Nome;Nota 1;Nota 2;Nota 3;Nota 4
A;10,9;60,9;53,6;12,00
B;71,3;9,9;13,9;47,00
C;65,9;0,3;28,9;55,00
D;3,6;70,00;37,9;75,3
E;70,9;81,9;43,9;8,6
F;76,9;53,00;29,9;38,6
G;73,6;2,3;23,00;37,3
H;2,00;88,00;10,3;28,3
I;25,3;11,9;12,3;26,3
J;7,00;19,3;82,9;46,3
K;52,00;41,00;70,3;31,6
L;27,3;74,00;47,6;18,9
M;87,9;75,9;17,9;80,6
N;76,00;47,9;2,00;19,6
O;55,00;60,6;51,9;24,00
P;76,6;47,9;90,3;55,6
Q;10,3;55,9;18,00;86,3
R;17,00;0,9;43,3;14,6
S;38,6;22,6;23,6;6,6
T;69,00;31,9;75,3;90,6
U;26,9;3,6;65,3;48,6
V;56,6;32,00;74,6;28,00
X;22,3;42,3;88,9;65,00
Y;36,6;44,3;17,9;23,9
Z;40,00;65,00;77,9;59,00
